fp_sol,normalized_hash,label,n_assessments,n_positive,n_negative,n_assessed_types,assessed_types,positive_types,assessed_swcs,source_datasets,source_path
03e584696500384845f74db42ea96459,681959e2f971c3de8c64aecfa0e5e011980977e17cd040b60b50bc612b865265,1,1,1,0,1,front_running,front_running,114,EthRacer,C:\Users\Exauce\Documents\smart-contract-cgt\source\03e584696500384845f74db42ea96459.sol
04045504816e9b4137a6838c8a53dde4,6442c9618ac3b1b9984c6847f1aa4ad6b91b6cbf930af0b5f189f2f213805ace,1,5,1,4,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,reentrancy,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\04045504816e9b4137a6838c8a53dde4.sol
0414ecc31e3039518177942a1ac278ae,f8115bb202983db63d17f15b34d3057ee5603aabee89072b2344a0a19e410627,1,6,1,5,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus,C:\Users\Exauce\Documents\smart-contract-cgt\source\0414ecc31e3039518177942a1ac278ae.sol
04260850c2b912fffccfdf966c6d5be8,67cf829d0129e8875b82abf3c6b04bccc26bdd20248a352a7978f342c180d2e3,1,7,2,5,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,denial_service|reentrancy,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\04260850c2b912fffccfdf966c6d5be8.sol
0450981ed4e1a1aae348f25d6c0d44f5,2ff6142ed760a8a027b7362e83868ec94884cc6ea4a3201b207f2e494fd494f7,1,6,1,5,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus,C:\Users\Exauce\Documents\smart-contract-cgt\source\0450981ed4e1a1aae348f25d6c0d44f5.sol
0492b47530c98d3fcd26dd33dc3f9889,b858f5106abba4a93a71bf52d4b40cddeb9796266104202a3b5af584c47ef0ab,1,7,3,4,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|denial_service|front_running,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\0492b47530c98d3fcd26dd33dc3f9889.sol
04a8004f4d161150f9a5bad912ea1df3,d632fbb026067a0f6dae997c1005e3ac4ce4de8276ac47cb7808e5c63b867a5a,0,1,0,1,1,arithmetic,,101,SWCregistry,C:\Users\Exauce\Documents\smart-contract-cgt\source\04a8004f4d161150f9a5bad912ea1df3.sol
04e5b942f9b5fbebcc69a7a63d290bf1,2d4d9085fdc11f4463355666a4f927c90a87eefbcae9885f40cd708e609b57a6,1,6,1,5,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus,C:\Users\Exauce\Documents\smart-contract-cgt\source\04e5b942f9b5fbebcc69a7a63d290bf1.sol
054dfb94bef344e5a4fd141d5f95ff03,e672691c370e6c72927f558293d0bf2b7f655e3866700ecdd5d943d1807874e9,0,5,0,5,5,bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,,104|107|113|114|120,NPChecker,C:\Users\Exauce\Documents\smart-contract-cgt\source\054dfb94bef344e5a4fd141d5f95ff03.sol
0560aa97c1cfa7d21268ac72dbfe6c53,2d92a9dff6c4ef8e2de5aae3f21162f6b85f7ede7e9460c988ff487fa74c3872,0,6,0,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,,101|104|107|113|114|120,Zeus,C:\Users\Exauce\Documents\smart-contract-cgt\source\0560aa97c1cfa7d21268ac72dbfe6c53.sol
056e44e7eb5f00cae045e0b5a34b9c3d,37f923a3ad8eed17246c5b7b288bdf979d3be78528e8094fa7958ca478b79bcd,1,2,2,0,2,time_manipulation|unchecked_low_calls,time_manipulation|unchecked_low_calls,104|116,ContractFuzzer,C:\Users\Exauce\Documents\smart-contract-cgt\source\056e44e7eb5f00cae045e0b5a34b9c3d.sol
057f2154fa41078bb9bb201bd191882a,219bdc88b7cea8f6160831edeb6211947b7be7cb56bd1c315471929bc3813d5a,1,6,3,3,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,bad_randomness|unchecked_low_calls,104|107|113|120,Doublade|Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\057f2154fa41078bb9bb201bd191882a.sol
05a003ac70180ed550cad30aee1c1826,02b39ecfee48771a9b4019f239a0e91d2fe804d9cc76a7a8a5e09f42bf7fb5e9,1,7,3,4,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|denial_service|reentrancy,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\05a003ac70180ed550cad30aee1c1826.sol
05c3997da5f9cc17542746ebfc98afcd,5b7fef5c372369d43f1cee9ce36d1436b6fe9e89efd801aded2cbdd55d5ef3b8,0,1,0,1,1,front_running,,114,EthRacer,C:\Users\Exauce\Documents\smart-contract-cgt\source\05c3997da5f9cc17542746ebfc98afcd.sol
05d427196fdd78746f35bd4be005f118,fdf7af37669aa55155b900fa526c1df5d1bf45dd0af7e744a0bc05d3ca0c2378,1,7,4,3,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|bad_randomness|front_running|unchecked_low_calls,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\05d427196fdd78746f35bd4be005f118.sol
05fecfbf66b19b64ef7b468b71052fd5,2c745de7f347e5ab873ae8ff1bb2ab6d7fa336dd568fb7384d30c262374f15c1,1,1,1,0,1,unchecked_low_calls,unchecked_low_calls,104,Doublade,C:\Users\Exauce\Documents\smart-contract-cgt\source\05fecfbf66b19b64ef7b468b71052fd5.sol
062a6dad6b11f3c60a7bb9e37d0276d5,55190435fd6bb3cb56272c58531103fd2c0df81fb5cc8fd4893820a84c2d73bb,0,6,0,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,,101|104|107|113|114|120,Zeus,C:\Users\Exauce\Documents\smart-contract-cgt\source\062a6dad6b11f3c60a7bb9e37d0276d5.sol
0656292491c3f9c8b491925d00b04d75,9df3f01dd207eedc0f3ec6b8b5d94ecd2f2921f0916f5698066111c935a98409,1,1,1,0,1,time_manipulation,time_manipulation,116,ContractFuzzer,C:\Users\Exauce\Documents\smart-contract-cgt\source\0656292491c3f9c8b491925d00b04d75.sol
06656896f605b885441aaf85085ca135,d16fc56e3c204872097e72e9563fdf9595c488bdbbed33f511019f85ae03aa43,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\06656896f605b885441aaf85085ca135.sol
06e98fd1a644fe1e46ff58974127a1bb,abf6e449d1c91072bcfaae314c2771c84ab2eb38c4ac7f144c8a7cc9aacdeac2,1,1,1,0,1,front_running,front_running,114,SolidiFI,C:\Users\Exauce\Documents\smart-contract-cgt\source\06e98fd1a644fe1e46ff58974127a1bb.sol
070e579dfbb0928cf87687b00e9a7921,ddd6eb747c6c0f3b943914f8eb60d95dcf55b583d0c94cb619c0dd68802c346c,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\070e579dfbb0928cf87687b00e9a7921.sol
07601b034f8e36319188e57a49bd5ce8,8fbd18b6e7b509b4fa9f5548c0d43718dc8249b477b44af38010e007dff05224,0,1,0,1,1,reentrancy,,107,Doublade,C:\Users\Exauce\Documents\smart-contract-cgt\source\07601b034f8e36319188e57a49bd5ce8.sol
0761a37c97dccdc9d7f9d036e8588207,2a0ed95782da85398079d130ce973ebdd9df13f7ca2fb03bc29f469aa292718b,1,1,1,0,1,front_running,front_running,114,SolidiFI,C:\Users\Exauce\Documents\smart-contract-cgt\source\0761a37c97dccdc9d7f9d036e8588207.sol
07645408707f4f4bf4775fa41370f6f9,607984f77596a7da2bc5754ad6f45db37e425fed792981a8259384b37f8e9144,0,1,0,1,1,arithmetic,,101,JiuZhou,C:\Users\Exauce\Documents\smart-contract-cgt\source\07645408707f4f4bf4775fa41370f6f9.sol
07a549b14805e8b9b1e5ad1445ec4c87,a7d75e1fc6eb915bb4f7f1841416071573ad20a7336202dedb0836f06bd6ebaf,1,1,1,0,1,time_manipulation,time_manipulation,116,ContractFuzzer,C:\Users\Exauce\Documents\smart-contract-cgt\source\07a549b14805e8b9b1e5ad1445ec4c87.sol
07dfae0441fd39d7c11c113600f30091,638ad832b2746b86ad033cd155e11b9531041c28305e13c7584ef4be62ef9cc6,1,1,1,0,1,arithmetic,arithmetic,101,SolidiFI,C:\Users\Exauce\Documents\smart-contract-cgt\source\07dfae0441fd39d7c11c113600f30091.sol
07e178810f331d9443ca152241111e46,b459c38904b5b85a41ac320531f6073c8fff070d00169004043c98896003e633,0,1,0,1,1,reentrancy,,107,Doublade,C:\Users\Exauce\Documents\smart-contract-cgt\source\07e178810f331d9443ca152241111e46.sol
0805ef8166adf1ace157ce8006233e05,fb52127d38a9538b33ab4fbc23ed4d28e77dbba3e33918c208c0e6d5a90a33a6,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\0805ef8166adf1ace157ce8006233e05.sol
080c2fe0268e8167dcfd7ddb008bdee5,83b7dc34076c35254c8e692d89129044100c9a8df650939a259147074a120aef,1,6,1,5,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus,C:\Users\Exauce\Documents\smart-contract-cgt\source\080c2fe0268e8167dcfd7ddb008bdee5.sol
081234acd7c565a6692e5ecd767fa464,09bc98ff5924265dfce6b3fa5e6ad1cca374abbc03f2eab1c0673152a3d2051e,1,1,1,0,1,front_running,front_running,114,SolidiFI,C:\Users\Exauce\Documents\smart-contract-cgt\source\081234acd7c565a6692e5ecd767fa464.sol
082ed9ae36dd6c067358fd3d5e33bfac,fc76bb6179195dcaf40d60799ae67cb0b960dfb6569ab59aca455fa74cef8a37,1,5,1,4,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,bad_randomness,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\082ed9ae36dd6c067358fd3d5e33bfac.sol
0844098b324a67a70124607068ac7531,addb6e0b96567a6370073b28bc38316b74e83cf306406a26185f9eb0718e07e2,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\0844098b324a67a70124607068ac7531.sol
088a6b121b5742a6ec67c97e98ff5d78,8e2b285e0c96dccd59b7c5e1d6fe7de3ecc01f12fe24e9509939280969667670,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,unchecked_low_calls,101|104|107|113|114|120,ContractFuzzer|Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\088a6b121b5742a6ec67c97e98ff5d78.sol
08a89586e0406a9fd58d7c8c32bdb6bc,ccab6561b0dc1e7abc1c149869d7cc5e098c73db14d959a5cfe66246dd0c3685,1,7,2,5,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|reentrancy,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\08a89586e0406a9fd58d7c8c32bdb6bc.sol
08b942799b942be102d17f6b72a76167,9c333eb374d8ab365f99ea032e67507d45463a6b0706c59280d0e09de87f28b5,1,7,3,4,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|denial_service|reentrancy,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\08b942799b942be102d17f6b72a76167.sol
08eb775fc54c0cd052126e5c0c54ce24,ac47a5c3a5c0ef071ae6f4e73b53b54a2728bf5e6af07ffa55e7ae4b737507f7,0,6,0,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,,101|104|107|113|114|120,Zeus,C:\Users\Exauce\Documents\smart-contract-cgt\source\08eb775fc54c0cd052126e5c0c54ce24.sol
0901241c8dd29426865fcbbe5ba3b634,f5c15c7b83c4527b120094181e62a9e7da11abfb21402d8a895eb31360521c0c,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\0901241c8dd29426865fcbbe5ba3b634.sol
0904f5cd5104cac94777d76aa749a177,b8a0903438fd51c44a15ca33ea6142fb07850bcedc687841f9cb0f9be2236b3e,1,6,1,5,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus,C:\Users\Exauce\Documents\smart-contract-cgt\source\0904f5cd5104cac94777d76aa749a177.sol
0915cc5a3af79fd77f0e6fa6f9cea662,dc66cfe5de2b0c8456a1407c58eea9a67593ac8623b3c881b7d53f4aefa5ecf2,0,1,0,1,1,front_running,,114,EthRacer,C:\Users\Exauce\Documents\smart-contract-cgt\source\0915cc5a3af79fd77f0e6fa6f9cea662.sol
09738c4cdd6175ff110a53fbdf539ab8,fb96990e02368dfe1cf15169cdb1e29c031b7c63eb89ab81722bf358e08cf0d5,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\09738c4cdd6175ff110a53fbdf539ab8.sol
0999db04d3a85b942cb70b14f4c343bb,876d78bc73f9586b124479d6dc0c5d0a4b7937e6efa58dc66b5d47fcafef59a6,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\0999db04d3a85b942cb70b14f4c343bb.sol
09abd8e8b828291ae4117d74efb2c3b2,d32483427778ddfed443a76dfdc81f3adf8e0e7dda294765d54604b7d9dcbb8c,1,1,1,0,1,front_running,front_running,114,EthRacer,C:\Users\Exauce\Documents\smart-contract-cgt\source\09abd8e8b828291ae4117d74efb2c3b2.sol
09bcbbdaf41339b5d100fc390eca9522,7abbe1fc894a48278db60fe190f649ac9b22080ef025c594dfef9990966c6a0b,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\09bcbbdaf41339b5d100fc390eca9522.sol
09d2c64d42e6c6dda41415f5e10bf41c,d3f174dcb64aa625c8a67b7827ddbc8fb7b6f95bbdf30d57fd7be1e84c523923,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\09d2c64d42e6c6dda41415f5e10bf41c.sol
09d9fb10fea1891a5e3a58df71e34a01,5135c6a0d4bf652bf073c6626d0367261008ac54d7b2bd82d2091d25f6dfbda4,1,7,3,4,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|front_running|unchecked_low_calls,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\09d9fb10fea1891a5e3a58df71e34a01.sol
09f84bfb308def5ee3e34c2fcfeeccc1,eb2956718ba4ac3f5134b46824e9aa48c0df55f7d3d772104d71ba27cd72a6b5,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\09f84bfb308def5ee3e34c2fcfeeccc1.sol
0a657914023ad144786c19dd4d3c02c8,eae8e2de3cdb602480d6df59bcf563b68c68e3e1204dc4e8da24a3b529b15494,1,1,1,0,1,unchecked_low_calls,unchecked_low_calls,104,Doublade,C:\Users\Exauce\Documents\smart-contract-cgt\source\0a657914023ad144786c19dd4d3c02c8.sol
0a7dcd7ad58d91e0373b21e4e4522cdf,8cddfe7bbcbe6e1d048dd0bd96e8c881943516ede520030614a42d5d422f34ea,1,1,1,0,1,reentrancy,reentrancy,107,Doublade,C:\Users\Exauce\Documents\smart-contract-cgt\source\0a7dcd7ad58d91e0373b21e4e4522cdf.sol
0adbb9434478f6977b5a383b1c5515a2,230aee5b22c2a88edb788377f77f70c7cee0c8007c5dd2f9872486fd73da1782,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\0adbb9434478f6977b5a383b1c5515a2.sol
0afa93cb250f9661bf341fbd139b1185,5590adfd66c9c88473f7ff777338da7822c7c67ee7c3cd57ebd4fcd2b45000e0,1,7,3,4,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|front_running|unchecked_low_calls,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\0afa93cb250f9661bf341fbd139b1185.sol
0b1332e23b1204f98d5d2284a541dabe,c3e3e9117f46d366afc1d99aa68bdcc698702191f59e28dec231221584e1cdde,1,2,1,1,2,reentrancy|unchecked_low_calls,unchecked_low_calls,104|107,Doublade,C:\Users\Exauce\Documents\smart-contract-cgt\source\0b1332e23b1204f98d5d2284a541dabe.sol
0b2d384962f5196008851f821bf8310d,678bf4fb1727b8f3669c881f33bfeff5bd3e15691eaf7e0440cdd3f073c0b6bc,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\0b2d384962f5196008851f821bf8310d.sol
0b419171a9e801be37173bc22c35e29b,7679b19ca12b427e9c00bb4cd4c1be113418a921c2a05e6baa91eeae3fdb90c5,0,6,0,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,,101|104|107|113|114|120,Zeus,C:\Users\Exauce\Documents\smart-contract-cgt\source\0b419171a9e801be37173bc22c35e29b.sol
0b9bae8c156e39c97860eae7a7481d84,f6f3ed7c51cd0f7553d199c419f2f5c4d34eb11e0f0949405e88983943844979,1,7,3,4,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|denial_service|reentrancy,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\0b9bae8c156e39c97860eae7a7481d84.sol
0bb4abd4e814830462937febb9ed8bbb,cac75b0e99054bae32e8a45142464a97045f5b773ff3666b92ad0c076a03a8b8,1,5,3,2,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,bad_randomness|denial_service,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\0bb4abd4e814830462937febb9ed8bbb.sol
0be49522c8bcffb5b644e6dfc79f2d74,c279122ddbbc27b3265b16017e505bacea1f3ea71e66ce34ec1f8ba65f8fd662,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,denial_service,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\0be49522c8bcffb5b644e6dfc79f2d74.sol
0bf0ebe31b1e67618bc28a9d3738a2e4,792dc76a71c09ccbd8eaceb76ac76234e4b5df071121a569ff87f2b9727f2e8d,1,7,3,4,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|denial_service|reentrancy,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\0bf0ebe31b1e67618bc28a9d3738a2e4.sol
