fp_sol,normalized_hash,label,n_assessments,n_positive,n_negative,n_assessed_types,assessed_types,positive_types,assessed_swcs,source_datasets,source_path,v1_labels,v1_splits,same_label,conflict_reason
2b2beb388fb5b103e463206b735ae1bd,4832cb1e5829aaba2aa097f72f22f1afd1a6726db8f417c2cee938ec0d02502d,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\2b2beb388fb5b103e463206b735ae1bd.sol,1,val,False,cgt_v1_label_conflict
2df320615c6cb1a8da04030561222e38,2512877062170a6a899de9ae483eaabcd9b79bb4161efda4202e9f7688f26f41,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\2df320615c6cb1a8da04030561222e38.sol,1,train,False,cgt_v1_label_conflict
2ea121a615f085c42c640ebb9b3d2184,c3f54e1621fb0650c1db97e1e272367ef22ec16d16b2513cc27888b39f9ecff6,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\2ea121a615f085c42c640ebb9b3d2184.sol,0,train,False,cgt_v1_label_conflict
302accc3b3ac3ea565ee4d0b0fafdbbd,abfc37b83b10b6f1301ec381c4cab95e9a35505eb163e6d8cb5d48bb0dc86407,1,6,1,5,5,bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,front_running,104|107|113|114|120,Doublade|NPChecker,C:\Users\Exauce\Documents\smart-contract-cgt\source\302accc3b3ac3ea565ee4d0b0fafdbbd.sol,0,train,False,cgt_v1_label_conflict
3110941db9bf2c1d57c9000020fe4dcb,cefdefe643096c42ac7430254a30e1ecf47d31a891e0e02da42e0468063f7383,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\3110941db9bf2c1d57c9000020fe4dcb.sol,1,train,False,cgt_v1_label_conflict
3213543265e254c7c67a1085d8714f3e,c01f31ee28b57c420bbdd54769063663ffdfe62998651d28f776cd50754f94c2,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\3213543265e254c7c67a1085d8714f3e.sol,0,train,False,cgt_v1_label_conflict
329245db5ce9de76092fc33e056d139b,551b59247e31813884a1d9d78fbab68ebf1da6a06521fad91582c80beebc9f15,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\329245db5ce9de76092fc33e056d139b.sol,1,train,False,cgt_v1_label_conflict
34a85b58d9dced4dbba67cafd562533f,649339f30f795ff282b7dff179fbc5780f8ab63bbd1a477cccab4b03f96a2ee4,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\34a85b58d9dced4dbba67cafd562533f.sol,0,val,False,cgt_v1_label_conflict
34a9b32c38da0878f5c3384f285fe391,6da5c7ec2b204320eb19beecd1983aab441ead5570382872d0511a58ef07d1e9,0,1,0,1,1,denial_service,,113,Doublade,C:\Users\Exauce\Documents\smart-contract-cgt\source\34a9b32c38da0878f5c3384f285fe391.sol,1,val,False,cgt_v1_label_conflict
35d1ae579ffe1ff235725a8ada62fae0,eb572cf53f36a5b94436ef5e828e3270399cb832a5f1424128b1a12b8d7be87a,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\35d1ae579ffe1ff235725a8ada62fae0.sol,0,train,False,cgt_v1_label_conflict
368844558533f8b0100596001b71879e,521c70bd173da45f6f5769edb30d249de52048f0fe260dd1da74608ba7722d8c,1,7,2,5,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|reentrancy,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\368844558533f8b0100596001b71879e.sol,0,train,False,cgt_v1_label_conflict
36af7f1d3af5a203d51030f484a34753,58c60b63732d2bb2933532ddfe1f0aa1f5e648b0fb9bd590f184e31da5d214c6,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\36af7f1d3af5a203d51030f484a34753.sol,0,val,False,cgt_v1_label_conflict
3ad8ca0d65457183607db655ec5515fc,b8830d2beec3b45ce3115c6ac16a499f2b2417d29fbceccb3c259fb3f4dbcf89,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,reentrancy,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\3ad8ca0d65457183607db655ec5515fc.sol,0,train,False,cgt_v1_label_conflict
3d621d123e2dedc7eb65b7bc9f88ebc3,d044dee8391e8568940269a6d516317bfdf057f734faf309b95e5214c4ceae48,0,2,0,2,1,reentrancy,,107,Doublade,C:\Users\Exauce\Documents\smart-contract-cgt\source\3d621d123e2dedc7eb65b7bc9f88ebc3.sol,1,test,False,cgt_v1_label_conflict
3de2fba1fb4c173089352b777e78ad0c,26cfdf2dfc63a6e6b8cb99c954382814d3ca747839778e1e26057a95469612fb,1,2,2,0,2,time_manipulation|unchecked_low_calls,time_manipulation|unchecked_low_calls,104|116,ContractFuzzer,C:\Users\Exauce\Documents\smart-contract-cgt\source\3de2fba1fb4c173089352b777e78ad0c.sol,0,test,False,cgt_v1_label_conflict
490bea87738e197f0955a044015f2908,819f38bbdd7fba7bebf22ae2e446457266493f9d685914fe350250206166847d,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\490bea87738e197f0955a044015f2908.sol,0,test,False,cgt_v1_label_conflict
490d4e92d85c9a164d5530a8234e35c5,5e83cd0de37ea0f7d673bdb6b04e83cc379f1c8f0a026d5f07c6d9f60a70eace,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\490d4e92d85c9a164d5530a8234e35c5.sol,1,train,False,cgt_v1_label_conflict
4a5f293ebc9629b609b7a3450a56b637,eb37526156d17e965a6773e00982d61f20583947d8164b38ae98524ecece7060,1,7,2,5,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|reentrancy,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\4a5f293ebc9629b609b7a3450a56b637.sol,0,train,False,cgt_v1_label_conflict
4a73f761ebd052a751692461d0e8a8d9,21709118674bc180198a5170f93f76be871e9ab243438671913d02eec757582c,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\4a73f761ebd052a751692461d0e8a8d9.sol,1,train,False,cgt_v1_label_conflict
4baae957e144419d5f422d8c061d7d10,14ac89d0fe6cee0f0b3d5fea0d2b238b3a1d69cbcb72607f2e49badc0370f7c3,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\4baae957e144419d5f422d8c061d7d10.sol,0,val,False,cgt_v1_label_conflict
4c8c53c8c930fd9003b740e3546e3164,1068f6f832f683e3bae0f95c59f41cc29ea9ce9e6f842f0840f8a543ea6ea090,1,7,3,4,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|denial_service|front_running,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\4c8c53c8c930fd9003b740e3546e3164.sol,0,test,False,cgt_v1_label_conflict
4d170b563b4b05e81e5fb375fd5c3481,cb710ae95b9e2374a2652020dd435c0acb48470aa1eac28ce64b6fc759c73c7e,1,7,2,5,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|reentrancy,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\4d170b563b4b05e81e5fb375fd5c3481.sol,0,train,False,cgt_v1_label_conflict
4db17c016d7caf4387984599ed87e9cc,d2de6f66e89c3953db6a971812f74da7538e9a92202ad5ea2b23fcaef37b95cb,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,denial_service,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\4db17c016d7caf4387984599ed87e9cc.sol,0,train,False,cgt_v1_label_conflict
4e76d197c9abfae7f2f08c2e02b3732e,9b8a2b99e67988f39f8451e6d1e66956c8a364fe1fc65cb5a9f449b8d0b61249,1,7,2,5,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|denial_service,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\4e76d197c9abfae7f2f08c2e02b3732e.sol,0,train,False,cgt_v1_label_conflict
4f085887b8c5b4b4a258a1000f470109,2f9a8b1148ffe24d5cc3574819427b5b30ea778f729dfad86bb962f7eff60a14,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\4f085887b8c5b4b4a258a1000f470109.sol,0,train,False,cgt_v1_label_conflict
4ff44cb73cbed3545d973b7d72fb1d49,9cb2ad6a318f763f1dbb9f24b90c06f00221766fd5dedfda59900503ddc3abbd,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\4ff44cb73cbed3545d973b7d72fb1d49.sol,1,train,False,cgt_v1_label_conflict
533b96fbecadb64bb67444b09d63ba79,169bf618fe416e468c91c4cbaa53de6692a5b062c5c307e92bc34134f60c16a7,0,1,0,1,1,unchecked_low_calls,,104,Doublade,C:\Users\Exauce\Documents\smart-contract-cgt\source\533b96fbecadb64bb67444b09d63ba79.sol,1,train,False,cgt_v1_label_conflict
544ddf7650d4359817a2526b33091fa5,8ef7b196842e7104b17794f0709fae707407d22e33962473928989617e1e4844,0,1,0,1,1,reentrancy,,107,Doublade,C:\Users\Exauce\Documents\smart-contract-cgt\source\544ddf7650d4359817a2526b33091fa5.sol,1,test,False,cgt_v1_label_conflict
54e3beba4ddff7a98f90e099613a0e6e,abec2891bab84fd3e08505df42f29608653e0207340d17314d44338619852f45,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\54e3beba4ddff7a98f90e099613a0e6e.sol,0,train,False,cgt_v1_label_conflict
57d7b6bf36fc9ef5c366e1f5d0258ab9,6c648303eed4206539b1dc80ec54bfb9ae5fd59e176ef8184486751327a5f9c1,1,1,1,0,1,front_running,front_running,114,EthRacer,C:\Users\Exauce\Documents\smart-contract-cgt\source\57d7b6bf36fc9ef5c366e1f5d0258ab9.sol,0,train,False,cgt_v1_label_conflict
5d2c93af3a1f2604179d93e36304377e,4673f7985fd043537c3ac9a4f9eb0b8799503bc66848ff4af7c230c6061d7bb2,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\5d2c93af3a1f2604179d93e36304377e.sol,1,train,False,cgt_v1_label_conflict
5ed7a351b37a1f783a692e7711c97fa2,4dd75e7aec49d3657af644b81ea8488fb54364bc23b042f7e3cc1db4c5a1d695,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,denial_service,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\5ed7a351b37a1f783a692e7711c97fa2.sol,0,train,False,cgt_v1_label_conflict
5f0839995f42647500c00172ccb218c0,48940753bf5d6b4eccf3d022e1cebf4bc18ca13cbefdfc39287464de674063a9,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\5f0839995f42647500c00172ccb218c0.sol,0,val,False,cgt_v1_label_conflict
5fe73d9c557aac78b6ede1e2bb107834,ed484e20c076217bb5a9cedb09f774a6e7cb78d12d6c83dbfb9688a9171893fd,1,12,3,9,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|denial_service|front_running,101|104|107|113|114|120|128,CodeSmells|Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\5fe73d9c557aac78b6ede1e2bb107834.sol,0,train,False,cgt_v1_label_conflict
624e825fc92adabb2d5fdc4a69dcc9a7,fc221b6c467ec0446f582b552ae7dfba1cd86d101112d999e366577fd0ecd251,0,1,0,1,1,front_running,,114,EthRacer,C:\Users\Exauce\Documents\smart-contract-cgt\source\624e825fc92adabb2d5fdc4a69dcc9a7.sol,1,val,False,cgt_v1_label_conflict
65b904a4249f2c1308ae14e4250b31d2,3f8f604dab2a0b88ea61770a51308ab083360a8e221ceed05685e1c65fd6e500,0,1,0,1,1,front_running,,114,EthRacer,C:\Users\Exauce\Documents\smart-contract-cgt\source\65b904a4249f2c1308ae14e4250b31d2.sol,1,train,False,cgt_v1_label_conflict
6876866d90fd59ca5fa0e6f41ffa67e7,e8a13ab3428fcbf6fe3f46d68f7ffe76e7e0801eca7d4834794bbfa6f6c839c1,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\6876866d90fd59ca5fa0e6f41ffa67e7.sol,0,train,False,cgt_v1_label_conflict
6e142d71cf85bf75de0dd92c91ffc728,dd79d70af73ee725d5b30c3ff4d6f2b945c192847413611cfd47c2865f3dfb69,0,1,0,1,1,front_running,,114,EthRacer,C:\Users\Exauce\Documents\smart-contract-cgt\source\6e142d71cf85bf75de0dd92c91ffc728.sol,1,train,False,cgt_v1_label_conflict
6e15a796e67f49d461c272a239b2f8c1,994da7309e473bceb12a58310a825c5d8249ff950f5f4c5326b1f4b666f2138b,1,7,3,4,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|denial_service|front_running,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\6e15a796e67f49d461c272a239b2f8c1.sol,0,val,False,cgt_v1_label_conflict
72c7afddfd98c2b03e56fee91ef8c659,4651f83bc935da2dcdb9b11faf80bf8141485a6df434b064520b9c2cee6b9d66,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\72c7afddfd98c2b03e56fee91ef8c659.sol,1,train,False,cgt_v1_label_conflict
745d5e6495ba738ec453cd8b4f66fc69,e08c0f6682601fd204ace0ee2b296aefc3bb75afe2996711c828eb6794dc61f2,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\745d5e6495ba738ec453cd8b4f66fc69.sol,0,test,False,cgt_v1_label_conflict
75df5b0e988c3570ca8b16f51a5af447,4b5421bbc808205cd373cf1c18d05e93c6716c13bc93b53aefe10409ce60eb0b,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\75df5b0e988c3570ca8b16f51a5af447.sol,0,train,False,cgt_v1_label_conflict
7659ad29230d62398ff513f1850a4118,3882a40cec69d428bd2a85b3e6d2e71d8e3a4553cef9e02e34807ca3e5807387,1,7,3,4,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|denial_service|front_running,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\7659ad29230d62398ff513f1850a4118.sol,0,train,False,cgt_v1_label_conflict
76a846f8a0240bbbd5dbdb0eac0a01c5,b9a6e05c6b8d301ec46b6d7f8b7852e51197d5e1f6588c55e202295ee65e216f,1,7,3,4,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|denial_service|front_running,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\76a846f8a0240bbbd5dbdb0eac0a01c5.sol,0,test,False,cgt_v1_label_conflict
776db1c99d75c11ee0b71ff399dec3f4,8b2ceef9e852babb96ea4f36f73b074c0bd64cdc67cf1e8d909174e533c3b0a0,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\776db1c99d75c11ee0b71ff399dec3f4.sol,1,train,False,cgt_v1_label_conflict
781075ec09c15df6614568fd8fbf90f6,cd4ce120781feb0319d1a1e4f064c6138ee4bcc55beac02dde0db3600122de82,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\781075ec09c15df6614568fd8fbf90f6.sol,1,train,False,cgt_v1_label_conflict
781b4b91aaecaaaadc3393ec8a0860b1,0dcdd40a55daaf49d73cff244356ed0c5bdf227bdd42305f5a5b8889e024a924,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\781b4b91aaecaaaadc3393ec8a0860b1.sol,0,train,False,cgt_v1_label_conflict
78902daf6c646d04714637a71607b1fc,8ebc2cee16cb99cfdf16ef5e9b0ea9581566a49ac598fcbf95af7cbc21d5af5e,1,7,4,3,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|denial_service|front_running|reentrancy,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\78902daf6c646d04714637a71607b1fc.sol,0,train,False,cgt_v1_label_conflict
7990b1772aa525c3ab47a288113924ba,46a67096ec06b25936247fa38c4871b8147104f29dc92e05227b3e1147ce1736,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\7990b1772aa525c3ab47a288113924ba.sol,0,train,False,cgt_v1_label_conflict
7a15bd289068291a9f8932102ebd494f,a33ebeeddeb96372e456fd0974b000c7e7f8b325a17a704833f6bf48e996ddb9,1,7,3,4,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|denial_service|front_running,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\7a15bd289068291a9f8932102ebd494f.sol,0,train,False,cgt_v1_label_conflict
7a8a16a3a4c33c2e3da6e20d6439a1e1,85fa7bd514a1e8bcbdd0ca15584d1b16d73aaf6bdf9534fac3656f9cb6eba3cd,1,7,2,5,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|reentrancy,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\7a8a16a3a4c33c2e3da6e20d6439a1e1.sol,0,train,False,cgt_v1_label_conflict
7b57ae5ad8fb8c5c3487feac77d39db4,fe40dc02d2ad55fa6648b80e2577b58d965a901b954fd170e6ef9dbe539b1443,1,6,2,4,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|denial_service,101|104|107|113|114|120,Zeus,C:\Users\Exauce\Documents\smart-contract-cgt\source\7b57ae5ad8fb8c5c3487feac77d39db4.sol,0,train,False,cgt_v1_label_conflict
7b72ec84631069a4a12a7c5a88cb8dae,137d7e4f5734eba637c180a37f3e2971202c14f319e9ba06c621d23fcb4f295e,1,1,1,0,1,front_running,front_running,114,EthRacer,C:\Users\Exauce\Documents\smart-contract-cgt\source\7b72ec84631069a4a12a7c5a88cb8dae.sol,0,train,False,cgt_v1_label_conflict
7d5378a37d0e1e25de822ff1548bd50b,cf8095fe8551993af861581b25c48da343a580ee13cd05881a37cf8bcdc8aceb,1,5,2,3,5,bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,bad_randomness|front_running,104|107|113|114|120,NPChecker,C:\Users\Exauce\Documents\smart-contract-cgt\source\7d5378a37d0e1e25de822ff1548bd50b.sol,0,test,False,cgt_v1_label_conflict
